区域名称,资产名称,规格型号,数量,单价,总价,购置日期
行知楼,办公桌,1.4米白橡, 1,390.00,390.00,2019-03-19
行知楼,办公桌,1400*700*750, 1,700.00,700.00,2019-03-19
行知楼,电脑,I7/16G/GTX1060, 1,8368.00,8368.00,2019-03-19
行知楼,12路直通箱,LQE-GD512, 1,2400.00,2400.00,2019-03-19
行知楼,平板柔光灯,LQE-ZT3000, 10,4350.00,43500.00,2019-03-19
行知楼,学生椅,白色塑料, 18,92.00,1656.00,2019-03-19
行知楼,学生椅,橙色塑料, 20,92.00,1840.00,2019-03-19
行知楼,灯光控台,烽火12LQE-GD512, 1,5400.00,5400.00,2019-03-19
行知楼,电视机,海尔75寸液晶, 1,12999.00,12999.00,2019-03-19
行知楼,提词器,天影, 1,2663.00,2663.00,2019-03-19
