区域名称,存放地点,资产编码,资产名称,规格型号,数量,单价,总价,购置日期
崇礼楼,崇礼楼二楼连廊,5004617,人声效果器, M350,1,3300,3300.00 ,2019/4/8
崇礼楼,崇礼楼二楼连廊,5001852,投影幕布,120寸电动,1,787,787.00 ,2019/3/19
崇礼楼,崇礼楼二楼连廊,8000145,灯光控制台,512/1990,1,1118,1118.00 ,2019/3/19
崇礼楼,崇礼楼二楼连廊,5001862,舞台帕灯,54颗非全影,1,604.37,604.37 ,2019/3/19
崇礼楼,崇礼楼二楼连廊,5001863,舞台帕灯,54颗非全影,1,604.37,604.37 ,2019/3/19
崇礼楼,崇礼楼二楼连廊,5001864,舞台帕灯,54颗非全影,1,604.37,604.37 ,2019/3/19
崇礼楼,崇礼楼二楼连廊,5001865,舞台帕灯,54颗非全影,1,604.37,604.37 ,2019/3/19
崇礼楼,崇礼楼二楼连廊,5001866,舞台帕灯,54颗非全影,1,604.37,604.37 ,2019/3/19
崇礼楼,崇礼楼二楼连廊,5001867,舞台帕灯,54颗非全影,1,604.37,604.37 ,2019/3/19
崇礼楼,崇礼楼二楼连廊,5001868,舞台帕灯,54颗非全影,1,604.37,604.37 ,2019/3/19
崇礼楼,崇礼楼二楼连廊,5001869,舞台帕灯,54颗非全影,1,604.37,604.37 ,2019/3/19
崇礼楼,崇礼楼二楼连廊,5001870,舞台帕灯,54颗非全影,1,604.37,604.37 ,2019/3/19
崇礼楼,崇礼楼二楼连廊,5001871,舞台帕灯,54颗非全影,1,604.37,604.37 ,2019/3/19
崇礼楼,崇礼楼二楼连廊,5001872,舞台帕灯,54颗非全影,1,604.37,604.37 ,2019/3/19
崇礼楼,崇礼楼二楼连廊,5001873,舞台帕灯,54颗非全影,1,604.37,604.37 ,2019/3/19
崇礼楼,崇礼楼二楼连廊,5001874,舞台帕灯,54颗非全影,1,604.37,604.37 ,2019/3/19
崇礼楼,崇礼楼二楼连廊,5001875,舞台帕灯,54颗非全影,1,604.37,604.37 ,2019/3/19
崇礼楼,崇礼楼二楼连廊,5001876,舞台帕灯,54颗非全影,1,604.37,604.37 ,2019/3/19
崇礼楼,崇礼楼二楼连廊,5001877,舞台帕灯,54颗非全影,1,604.46,604.46 ,2019/3/19
崇礼楼,崇礼楼二楼连廊,5004626,专业录音师耳机,AKG K271,1,940,940.00 ,2019/4/8
崇礼楼,崇礼楼二楼连廊,5004612,动画配音员耳机,AKG K77,1,220,220.00 ,2019/4/8
崇礼楼,崇礼楼二楼连廊,5004613,动画配音员耳机,AKG K77,1,220,220.00 ,2019/4/8
崇礼楼,崇礼楼二楼连廊,5004614,动画配音员耳机,AKG K77,1,220,220.00 ,2019/4/8
崇礼楼,崇礼楼二楼连廊,5004615,动画配音员耳机,AKG K77,1,220,220.00 ,2019/4/8
崇礼楼,崇礼楼二楼连廊,5001879,话筒放大器,AVALON-AD2022,1,19868.74,19868.74 ,2019/3/19
崇礼楼,崇礼楼二楼连廊,5001850,4芯电缆线,bvn10,1,1450,1450.00 ,2019/3/19
崇礼楼,崇礼楼二楼连廊,5001849,均衡器,eq-231,1,1391,1391.00 ,2019/3/19
崇礼楼,崇礼楼二楼连廊,8000147,舞台par灯,eq-231,1,480,480.00 ,2019/3/19
崇礼楼,崇礼楼二楼连廊,8000148,舞台par灯,eq-231,1,480,480.00 ,2019/3/19
崇礼楼,崇礼楼二楼连廊,8000149,舞台par灯,eq-231,1,480,480.00 ,2019/3/19
崇礼楼,崇礼楼二楼连廊,8000150,舞台par灯,eq-231,1,480,480.00 ,2019/3/19
崇礼楼,崇礼楼二楼连廊,8000151,舞台par灯,eq-231,1,480,480.00 ,2019/3/19
崇礼楼,崇礼楼二楼连廊,8000152,舞台par灯,eq-231,1,480,480.00 ,2019/3/19
崇礼楼,崇礼楼二楼连廊,8000153,舞台par灯,eq-231,1,480,480.00 ,2019/3/19
崇礼楼,崇礼楼二楼连廊,8000154,舞台par灯,eq-231,1,480,480.00 ,2019/3/19
崇礼楼,崇礼楼二楼连廊,8000155,舞台par灯,eq-231,1,480,480.00 ,2019/3/19
崇礼楼,崇礼楼二楼连廊,8000156,舞台par灯,eq-231,1,480,480.00 ,2019/3/19
崇礼楼,崇礼楼二楼连廊,5004616,专业有源监听音箱,KRK,1,4500,4500.00 ,2019/4/8
崇礼楼,崇礼楼二楼连廊,5001860,舞台反监听音响,me-120,1,3792,3792.00 ,2019/3/19
崇礼楼,崇礼楼二楼连廊,5001861,舞台反监听音响,me-120,1,3792,3792.00 ,2019/3/19
崇礼楼,崇礼楼二楼连廊,5001856,舞台主音箱,me-150,1,4703,4703.00 ,2019/3/19
